Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0126,TXN006334,AUS01,OPS,"Operations & Logistics","Renewable sourcing premium",6000,"Cost of Goods Sold","Origin Energy",BOB-ESG-0126,PO-ESG-7109,118276.45,"tCO2e avoided",874.98,814.33,93.1,56.63,23.8,84,-30377.03,-0.70,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0127,TXN006335,AUS01,CORP,"Corporate Head Office","Compliance assurance",5320,"Audit Fees","Energy Australia",BOB-ESG-0127,PO-ESG-7635,91437.55,"tCO2e avoided",208.93,159.23,76.2,219.07,47.0,64,75482.17,-0.38,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0128,TXN006336,NZL01,R&D,"Research & Development","Carbon offsets",5300,"Professional Services",EcoVadis,BOB-ESG-0128,PO-ESG-8184,38643.76,"tCO2e avoided",454.06,560.43,123.4,116.90,2.5,83,-31998.83,-0.47,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0129,TXN006337,AUS01,MKT,"Marketing & Sales","Energy usage",5110,Utilities,"Green Freight",BOB-ESG-0129,PO-ESG-9552,45117.72,supplier_score,853.68,883.84,103.5,81.88,61.6,49,17295.74,-0.00,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0130,TXN006338,AUS01,SA,"South Australia Operations","Fleet emissions",5400,Travel,EcoVadis,BOB-ESG-0130,PO-ESG-8273,117006.32,renewable_kwh,623.42,560.40,89.9,301.31,18.9,53,-30533.58,0.14,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0131,TXN006339,PNG01,ACT,"Australian Capital Territory","Sustainable packaging",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0131,PO-ESG-7936,112203.21,audit_evidence_count,233.05,217.89,93.5,203.06,32.9,79,46068.68,-0.00,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0132,TXN006340,NZL01,SA,"South Australia Operations","Waste reduction",5600,Telecommunications,"Carbon Neutral Pty Ltd",BOB-ESG-0132,PO-ESG-4446,58661.74,audit_evidence_count,437.82,382.32,87.3,411.12,61.9,64,-44517.95,0.38,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0133,TXN006341,AUS01,HR,"Human Resources","Supplier ESG premium",6010,"Direct Materials","Energy Australia",BOB-ESG-0133,PO-ESG-2826,51502.82,renewable_kwh,783.88,737.74,94.1,591.87,49.8,83,73248.63,0.31,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0134,TXN006342,AUS01,FIN,"Finance & Accounting","Sustainable packaging",6010,"Direct Materials","Sustainable Packaging Co",BOB-ESG-0134,PO-ESG-5353,111144.74,supplier_score,365.06,314.71,86.2,174.95,92.9,77,54392.09,-0.64,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0135,TXN006343,AUS01,NT,"Northern Territory Operations","Fleet emissions",5400,Travel,"Bureau Veritas",BOB-ESG-0135,PO-ESG-3459,33584.95,audit_evidence_count,425.41,378.35,88.9,538.41,94.7,70,-14478.03,-0.57,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0136,TXN006344,AUS01,SA,"South Australia Operations","Sustainable packaging",6010,"Direct Materials","Green Freight",BOB-ESG-0136,PO-ESG-6783,93269.96,audit_evidence_count,827.85,947.96,114.5,100.29,97.3,95,-5816.55,-0.34,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0137,TXN006345,NZL01,NT,"Northern Territory Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Origin Energy",BOB-ESG-0137,PO-ESG-2442,110502.61,supplier_score,863.12,625.21,72.4,584.29,31.1,67,73680.19,0.22,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0138,TXN006346,AUS01,ACT,"Australian Capital Territory","Sustainable packaging",6010,"Direct Materials","Carbon Neutral Pty Ltd",BOB-ESG-0138,PO-ESG-2549,12240.87,"tCO2e avoided",222.22,169.88,76.4,463.57,79.4,63,42434.98,0.35,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0139,TXN006347,AUS01,FIN,"Finance & Accounting","Waste reduction",5600,Telecommunications,"Green Freight",BOB-ESG-0139,PO-ESG-7028,60911.54,waste_kg_reduced,280.48,220.94,78.8,275.11,56.7,62,81310.01,-0.06,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0140,TXN006348,AUS01,MKT,"Marketing & Sales","Carbon offsets",5300,"Professional Services","Climate Active Advisor",BOB-ESG-0140,PO-ESG-5845,103653.98,waste_kg_reduced,403.31,290.01,71.9,228.98,70.4,58,42812.48,-0.24,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0141,TXN006349,AUS01,R&D,"Research & Development","Compliance assurance",5320,"Audit Fees","Green Freight",BOB-ESG-0141,PO-ESG-3115,95947.93,audit_evidence_count,290.14,198.90,68.6,350.71,34.6,92,5365.24,0.10,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0142,TXN006350,AUS01,ACT,"Australian Capital Territory","Renewable sourcing premium",6000,"Cost of Goods Sold","Bureau Veritas",BOB-ESG-0142,PO-ESG-4746,25381.39,audit_evidence_count,644.21,633.54,98.3,391.65,97.5,71,83747.39,-0.60,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0143,TXN006351,AUS01,CORP,"Corporate Head Office","Waste reduction",5600,Telecommunications,"Carbon Neutral Pty Ltd",BOB-ESG-0143,PO-ESG-7203,52213.31,waste_kg_reduced,898.07,793.63,88.4,185.01,65.2,49,77217.72,0.13,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0144,TXN006352,PNG01,FIN,"Finance & Accounting","Energy usage",5110,Utilities,"Green Freight",BOB-ESG-0144,PO-ESG-5904,37602.85,waste_kg_reduced,868.89,1028.14,118.3,143.49,41.5,57,65939.71,-0.22,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0145,TXN006353,NZL01,HR,"Human Resources","Compliance assurance",5320,"Audit Fees",EcoVadis,BOB-ESG-0145,PO-ESG-5645,69713.15,"tCO2e avoided",177.69,130.45,73.4,156.78,67.8,57,-91.86,-0.73,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0146,TXN006354,AUS01,VIC,"Victoria Operations","Compliance assurance",5320,"Audit Fees","Carbon Neutral Pty Ltd",BOB-ESG-0146,PO-ESG-9299,21330.25,renewable_kwh,417.21,469.89,112.6,152.05,79.5,54,80570.43,0.11,No,None,Missing,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0147,TXN006355,FJI01,IT,"Information Technology","Carbon offsets",5300,"Professional Services","Green Freight",BOB-ESG-0147,PO-ESG-4886,74185.02,"tCO2e avoided",771.98,650.54,84.3,156.27,92.9,90,-23497.48,-0.45,No,None,Partial,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0148,TXN006356,AUS01,CORP,"Corporate Head Office","Supplier ESG premium",6010,"Direct Materials","Origin Energy",BOB-ESG-0148,PO-ESG-6620,45718.54,"tCO2e avoided",874.06,740.59,84.7,8.05,13.6,65,68102.35,-0.14,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0149,TXN006357,AUS01,WA,"Western Australia Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Bureau Veritas",BOB-ESG-0149,PO-ESG-5935,22787.19,supplier_score,347.49,396.29,114.0,167.56,20.7,48,55952.95,-0.15,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0150,TXN006358,AUS01,CORP,"Corporate Head Office","Waste reduction",5600,Telecommunications,"Energy Australia",BOB-ESG-0150,PO-ESG-4203,85931.30,renewable_kwh,421.28,462.57,109.8,433.80,9.9,54,-6527.17,-0.02,No,None,Missing,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0151,TXN006359,AUS01,OPS,"Operations & Logistics","Renewable sourcing premium",6000,"Cost of Goods Sold","Carbon Neutral Pty Ltd",BOB-ESG-0151,PO-ESG-9051,64502.14,"tCO2e avoided",774.35,683.13,88.2,450.87,45.5,47,65199.60,0.22,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0152,TXN006360,AUS01,WA,"Western Australia Operations","Fleet emissions",5400,Travel,EcoVadis,BOB-ESG-0152,PO-ESG-8606,109195.74,supplier_score,377.15,330.52,87.6,484.86,45.6,60,45996.70,-0.09,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0153,TXN006361,AUS01,OPS,"Operations & Logistics","Supplier ESG premium",6010,"Direct Materials",EcoVadis,BOB-ESG-0153,PO-ESG-2842,50406.82,renewable_kwh,253.11,167.98,66.4,28.67,69.4,74,-6655.48,0.28,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0154,TXN006362,AUS01,MKT,"Marketing & Sales","Carbon offsets",5300,"Professional Services","Green Freight",BOB-ESG-0154,PO-ESG-9058,51081.40,waste_kg_reduced,583.85,664.85,113.9,26.73,74.2,51,35405.24,-0.62,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0155,TXN006363,AUS01,HR,"Human Resources","Waste reduction",5600,Telecommunications,"Sustainable Packaging Co",BOB-ESG-0155,PO-ESG-7430,8204.87,audit_evidence_count,451.44,477.56,105.8,61.49,80.4,62,-12485.37,-0.33,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0156,TXN006364,AUS01,IT,"Information Technology","Supplier ESG premium",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0156,PO-ESG-2225,36997.71,renewable_kwh,348.40,338.24,97.1,577.55,9.0,73,-32511.33,-0.71,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0157,TXN006365,AUS01,ACT,"Australian Capital Territory","Carbon offsets",5300,"Professional Services","Carbon Neutral Pty Ltd",BOB-ESG-0157,PO-ESG-6193,77954.22,waste_kg_reduced,377.33,279.16,74.0,228.72,67.7,89,-29623.86,-0.61,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0158,TXN006366,AUS01,SA,"South Australia Operations","Supplier ESG premium",6010,"Direct Materials","Green Freight",BOB-ESG-0158,PO-ESG-3394,79283.93,renewable_kwh,830.72,917.93,110.5,330.00,91.1,74,61288.38,-0.15,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0159,TXN006367,AUS01,WA,"Western Australia Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Bureau Veritas",BOB-ESG-0159,PO-ESG-3327,29131.35,waste_kg_reduced,443.54,367.84,82.9,291.05,11.8,52,-7110.67,0.22,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0160,TXN006368,AUS01,NT,"Northern Territory Operations","Energy usage",5110,Utilities,EcoVadis,BOB-ESG-0160,PO-ESG-7288,82682.76,supplier_score,539.98,626.17,116.0,45.33,15.1,49,-47654.18,-0.21,No,None,Missing,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0161,TXN006369,AUS01,FIN,"Finance & Accounting","Energy usage",5110,Utilities,"Sustainable Packaging Co",BOB-ESG-0161,PO-ESG-7750,113843.67,supplier_score,312.51,277.16,88.7,196.39,54.9,46,-30915.05,-0.02,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0162,TXN006370,AUS01,VIC,"Victoria Operations","Energy usage",5110,Utilities,"Bureau Veritas",BOB-ESG-0162,PO-ESG-7885,91331.29,audit_evidence_count,112.20,79.68,71.0,152.42,56.4,48,-2348.97,0.37,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0163,TXN006371,AUS01,IT,"Information Technology","Carbon offsets",5300,"Professional Services","Bureau Veritas",BOB-ESG-0163,PO-ESG-7894,104918.68,renewable_kwh,689.21,765.13,111.0,501.88,24.2,49,66090.30,-0.35,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0164,TXN006372,FJI01,TAS,"Tasmania Operations","Waste reduction",5600,Telecommunications,"Energy Australia",BOB-ESG-0164,PO-ESG-2499,2614.95,"tCO2e avoided",258.24,286.06,110.8,325.98,68.1,51,11768.11,-0.33,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0165,TXN006373,FJI01,VIC,"Victoria Operations","Supplier ESG premium",6010,"Direct Materials","Carbon Neutral Pty Ltd",BOB-ESG-0165,PO-ESG-9366,17667.50,renewable_kwh,731.45,867.73,118.6,463.12,71.4,80,64919.09,-0.29,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0166,TXN006374,AUS01,QLD,"Queensland Operations","Carbon offsets",5300,"Professional Services","Green Freight",BOB-ESG-0166,PO-ESG-3761,31779.70,supplier_score,498.46,480.62,96.4,252.09,44.7,58,-31987.17,0.22,No,None,Partial,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0167,TXN006375,AUS01,OPS,"Operations & Logistics","Renewable sourcing premium",6000,"Cost of Goods Sold","Origin Energy",BOB-ESG-0167,PO-ESG-6732,18492.53,supplier_score,305.29,368.34,120.7,508.61,80.9,78,-41289.71,-0.01,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0168,TXN006376,AUS01,WA,"Western Australia Operations","Waste reduction",5600,Telecommunications,"Green Freight",BOB-ESG-0168,PO-ESG-7809,32579.40,renewable_kwh,559.99,459.28,82.0,196.40,92.2,66,28265.32,-0.30,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0169,TXN006377,AUS01,MKT,"Marketing & Sales","Carbon offsets",5300,"Professional Services","Carbon Neutral Pty Ltd",BOB-ESG-0169,PO-ESG-4859,4286.83,waste_kg_reduced,684.30,733.04,107.1,560.92,80.0,48,66669.47,0.00,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0170,TXN006378,NZL01,TAS,"Tasmania Operations","Fleet emissions",5400,Travel,"Sustainable Packaging Co",BOB-ESG-0170,PO-ESG-3199,74546.72,supplier_score,459.36,391.37,85.2,412.35,61.4,52,23698.73,-0.38,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0171,TXN006379,AUS01,OPS,"Operations & Logistics","Renewable sourcing premium",6000,"Cost of Goods Sold","Carbon Neutral Pty Ltd",BOB-ESG-0171,PO-ESG-9276,94365.16,supplier_score,149.61,101.32,67.7,275.40,37.7,74,26649.45,-0.70,No,None,Partial,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0172,TXN006380,FJI01,ACT,"Australian Capital Territory","Renewable sourcing premium",6000,"Cost of Goods Sold","Bureau Veritas",BOB-ESG-0172,PO-ESG-6109,62238.85,renewable_kwh,960.53,795.82,82.9,258.78,77.8,72,27792.04,0.39,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0173,TXN006381,AUS01,VIC,"Victoria Operations","Waste reduction",5600,Telecommunications,"Carbon Neutral Pty Ltd",BOB-ESG-0173,PO-ESG-8565,34783.67,waste_kg_reduced,388.00,478.90,123.4,315.25,74.4,73,6789.42,-0.67,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0174,TXN006382,AUS01,OPS,"Operations & Logistics","Energy usage",5110,Utilities,"Energy Australia",BOB-ESG-0174,PO-ESG-6308,6611.49,waste_kg_reduced,476.22,511.74,107.5,571.26,6.7,48,69073.12,-0.35,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0175,TXN006383,NZL01,IT,"Information Technology","Compliance assurance",5320,"Audit Fees",EcoVadis,BOB-ESG-0175,PO-ESG-7597,40519.15,waste_kg_reduced,799.05,884.63,110.7,258.05,3.6,86,-41792.65,-0.15,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0176,TXN006384,AUS01,TAS,"Tasmania Operations","Energy usage",5110,Utilities,"Bureau Veritas",BOB-ESG-0176,PO-ESG-6128,42866.79,waste_kg_reduced,96.94,63.08,65.1,122.03,60.4,57,37301.64,0.34,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0177,TXN006385,NZL01,ACT,"Australian Capital Territory","Compliance assurance",5320,"Audit Fees","Origin Energy",BOB-ESG-0177,PO-ESG-3166,77152.15,waste_kg_reduced,654.36,651.43,99.6,127.60,90.7,65,-8458.26,-0.33,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0178,TXN006386,PNG01,MKT,"Marketing & Sales","Fleet emissions",5400,Travel,"Origin Energy",BOB-ESG-0178,PO-ESG-7099,92827.17,waste_kg_reduced,358.15,336.93,94.1,420.84,48.9,64,77326.54,-0.08,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0179,TXN006387,AUS01,QLD,"Queensland Operations","Carbon offsets",5300,"Professional Services","Carbon Neutral Pty Ltd",BOB-ESG-0179,PO-ESG-5941,61453.70,waste_kg_reduced,409.69,405.61,99.0,390.09,40.1,46,-30844.93,-0.20,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0180,TXN006388,NZL01,IT,"Information Technology","Waste reduction",5600,Telecommunications,"Origin Energy",BOB-ESG-0180,PO-ESG-8821,54816.01,waste_kg_reduced,435.12,398.10,91.5,206.90,10.2,64,72674.76,0.34,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0181,TXN006389,AUS01,NT,"Northern Territory Operations","Energy usage",5110,Utilities,"Carbon Neutral Pty Ltd",BOB-ESG-0181,PO-ESG-3231,54343.17,supplier_score,544.82,547.26,100.4,589.03,78.2,47,12080.15,-0.42,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
